date,cases_new,cases_import,cases_recovered,cases_active,cases_cluster,cases_unvax,cases_pvax,cases_fvax,cases_boost,cases_child,cases_adolescent,cases_adult,cases_elderly,cases_0_4,cases_5_11,cases_12_17,cases_18_29,cases_30_39,cases_40_49,cases_50_59,cases_60_69,cases_70_79,cases_80,cluster_import,cluster_religious,cluster_community,cluster_highRisk,cluster_education,cluster_detentionCentre,cluster_workplace
20/2/2022,26832,68,18459,251684,595,4701,223,11770,10138,3637,1828,19331,1972,1296,2341,1828,7593,5998,3497,2243,1223,554,195,0,0,0,26,449,17,103
21/2/2022,25099,85,17749,258991,275,4389,199,10936,9575,3375,1676,18041,1964,1210,2165,1676,6798,5647,3389,2207,1242,535,187,0,0,0,3,233,1,38
22/2/2022,27179,120,19037,267090,428,4800,261,11774,10344,3783,1765,19424,2125,1350,2433,1765,7402,6073,3634,2315,1373,568,184,0,0,0,13,337,2,76
23/2/2022,31199,119,20399,277835,629,5628,362,12931,12278,4389,2067,21944,2554,1595,2794,2067,8591,6838,3926,2589,1549,739,266,0,0,0,13,504,38,72
24/2/2022,32070,209,23332,286527,543,5095,385,13060,13530,4013,1911,23538,2553,1557,2456,1911,8445,7674,4581,2838,1692,620,241,0,0,21,96,317,9,100
25/2/2022,30644,257,22678,294436,525,5208,369,12261,12806,3934,1629,22540,2491,1552,2382,1629,8667,6968,4242,2663,1634,652,205,0,0,0,45,141,97,242
26/2/2022,27299,256,22710,298982,372,4591,411,10487,11810,3548,1462,19914,2296,1455,2093,1462,7455,6325,3808,2326,1428,646,222,0,0,20,40,246,22,44
27/2/2022,24466,246,22380,301029,270,4166,316,9221,10763,3232,1250,17716,2157,1345,1887,1250,6683,5575,3296,2162,1363,585,209,0,0,0,4,81,0,185
28/2/2022,23100,298,30624,293430,154,3677,411,8512,10500,2897,1188,16748,2178,1230,1667,1188,6042,5454,3191,2061,1321,636,221,0,0,11,5,66,4,68
1/3/2022,25854,448,25548,293658,484,4058,373,9418,12005,3205,1291,18785,2480,1350,1855,1291,7065,5942,3460,2318,1602,645,233,15,0,1,2,9,0,28
